"00003.png",742,443,765,466,3
"00003.png",742,466,764,489,6
"00004.png",906,407,955,459,2
"00005.png",1172,164,1284,278,6
"00006.png",926,350,989,414,2
"00007.png",825,406,864,445,6
"00008.png",785,460,811,486,2
"00009.png",925,466,949,490,3
"00011.png",720,338,770,398,1
"00012.png",979,364,1034,418,1
"00013.png",1043,281,1120,356,2
"00018.png",950,455,981,486,3
"00019.png",845,423,888,465,2
"00023.png",998,292,1074,371,1
"00026.png",453,411,492,451,1
"00027.png",969,386,1024,441,2
"00027.png",102,375,157,430,2
"00056.png",729,436,760,467,1
"00057.png",990,418,1036,467,1
"00060.png",819,441,842,464,2
"00061.png",1224,333,1285,394,2
"00063.png",815,499,837,521,6
"00064.png",786,447,808,470,2
"00065.png",973,377,1022,427,6
"00067.png",949,435,979,465,6
"00069.png",817,459,838,480,2
"00071.png",794,474,822,502,1
"00071.png",794,503,821,529,6
"00072.png",836,456,858,478,3
"00073.png",727,457,748,477,2
"00073.png",727,476,749,497,6
"00073.png",430,453,452,475,2
"00073.png",432,475,452,495,6
"00075.png",1131,409,1179,456,3
"00076.png",789,471,815,495,2
"00077.png",962,408,1011,455,6
"00080.png",829,381,880,432,6
"00085.png",846,429,875,458,1
"00093.png",344,397,379,436,1
"00093.png",1076,339,1119,389,1
"00095.png",698,461,719,481,1
"00096.png",699,396,738,435,5
"00096.png",1140,420,1176,458,5
"00107.png",490,536,529,576,1
"00110.png",929,489,954,513,6
"00116.png",383,473,400,502,5
"00117.png",99,425,131,466,5
"00120.png",58,243,164,345,2
"00124.png",532,481,558,507,3
"00124.png",976,470,1002,496,3
"00125.png",1019,313,1106,401,2
"00126.png",840,374,868,404,2
"00126.png",379,365,411,396,2
"00129.png",962,379,1008,426,6
"00130.png",209,426,236,453,1
"00130.png",601,431,626,456,1
"00131.png",1010,430,1034,455,6
"00131.png",474,389,500,415,1
"00134.png",1008,299,1073,365,1
"00135.png",718,298,777,356,1
"00141.png",857,379,894,416,2
"00142.png",816,454,835,473,2
"00144.png",708,445,727,464,3
"00146.png",711,427,729,445,2
"00149.png",1131,274,1221,361,3
"00150.png",824,345,865,386,2
